"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g698",3712.10215016862,-1.07747362475847,0.523614320905216,-2.0577619475643,0.0396129905182219,0.0980235663493803
"g699",11.4351505714261,3.46645221003171,1.06986053585449,3.24009727797193,0.00119488927658458,0.00658437493903024
"g700",1333.49724113671,1.12568645283572,0.322695766076285,3.48838308764673,0.000485951286414209,0.00318108537134975
"g701",1710.53805339818,-1.99952189882253,0.445772269613794,-4.48552329321622,7.27351994609123e-06,0.000100200879257346
"g704",7.91038382561996,-2.30509394483767,1.1832648392119,-1.9480794733772,0.0514054545072969,0.119214157060892
"g707",10.5919730914675,-1.03357332100333,0.968399256060478,-1.06730082095269,0.2858360175147,0.430386042685266
"g708",106.781280271176,-1.860422234711,0.529333111260774,-3.51465305142129,0.00044032885475326,0.00291343034363626
"g710",912.188493480365,-0.79149748828568,0.572856424916049,-1.38166816999857,0.167073611987999,0.292616591774048
"g713",2.16569172873495,1.35818889942024,3.29436898434426,0.412275888303566,0.680137219472565,NA
"g714",403.896339679946,-0.684494531410802,0.380420463256726,-1.79931049331821,0.0719695791305247,0.155024320974269
"g715",2988.21273725572,-0.328758039882653,0.304407706930123,-1.07999249821267,0.280145520789464,0.42424005855402
"g716",316.28305203119,1.43400480644434,0.619444303625916,2.31498586402424,0.0206137056971962,0.0607873813370993
"g717",2951.03551048588,1.03613360842606,0.623056746248626,1.66298433435564,0.0963155713654749,0.195150820871974
"g718",2.66895835392491,4.95201272117236,2.29003345385335,2.16241937987404,0.0305858651049924,NA
"g719",26.0262434680288,1.45467048659587,1.13627898393233,1.28020539600379,0.200472908685405,0.326343024191585
"g720",9.0884583321064,2.64408016549039,1.18581169144155,2.22976395373205,0.0257631176043224,0.0713614621099837
"g721",246.098179425707,-0.499602027754445,0.435311743677915,-1.14768791563799,0.251097421612546,0.391022960382109
"g722",9713.68649289527,0.318899043849438,0.368603087226001,0.865155650890988,0.386953363304459,0.529122895303727
"g723",1627.50905046411,-0.552907203814567,0.316073597538389,-1.74929892316429,0.0802393620180237,0.168511788720446
"g724",1988.7706131189,0.279230739665743,0.322393547875279,0.866117642570706,0.386425651116093,0.528792996264128
"g726",1421.1246157686,0.912514004123093,0.354170269986716,2.57648391593489,0.00998108489910129,0.0354328513918096
"g727",222.21588361252,-0.0918558520254378,0.443603311336344,-0.207067552649065,0.835957102133431,0.896903570161254
"g728",55.073333252038,1.66572059794278,0.711973738065142,2.33958151668563,0.0193053580853152,0.0581365269583881
"g731",4.33368584274203,1.66254613135468,2.88138813889749,0.576994854983622,0.563942931146614,0.686542821733369
"g732",1040.81326752834,-4.20226241758988,0.555474803366314,-7.56517197922054,3.87351785664927e-14,5.50039535644196e-12
"g733",191.412284786469,-0.411173932273991,0.495889764212384,-0.829163983505596,0.407011622131661,0.550481387972025
"g734",71.251631223163,-0.560369752717969,0.678119574152097,-0.826358320977006,0.40860085907022,0.550969456423394
"g735",526.921490090937,-0.846189858673027,0.407837501138846,-2.07482111456187,0.0380031169300388,0.0953176003435484
"g736",8.19764820603265,-1.40516234549594,1.42308358643574,-0.987406754521931,0.323443274407308,0.465375124361567
"g737",14.1284414081444,-2.69746449547417,1.26305042727503,-2.13567442536227,0.0327059603770828,0.0850944059261916
"g739",9.0431584756995,3.15800368502417,1.32438130318508,2.3845124341678,0.017101770063622,0.0525288977328555
"g740",5305.02193985345,-2.2449850313544,0.594562501729465,-3.77586044330778,0.000159456255292982,0.00128889995606071
"g741",6723.79544663645,-2.67896621318058,0.594171371311332,-4.50874333993596,6.52127425221728e-06,9.33199400743652e-05
"g742",2.01560001736954,-4.39343354432571,2.50301321709791,-1.75525782857017,0.0792152163556815,NA
"g743",239.338866999493,-3.8149013169729,0.638435011466837,-5.97539490857178,2.295334692302e-09,1.00885424809274e-07
"g744",2839.05601152263,0.30936700152692,0.336590289219216,0.919120400783262,0.35803259965484,0.498437540695954
"g745",35.7631693638926,2.08031050434846,0.651311455618671,3.19403334058113,0.00140299912926204,0.00748536529658304
"g746",747.311729066433,0.615893257956051,0.45850541544821,1.34326277772311,0.179186900293674,0.305710737469613
"g747",625.962829215046,1.74076554145751,0.516536935302564,3.3700698294457,0.000751491374925,0.0045187396681158
"g748",1156.15827478396,0.948926372454249,0.580028692620983,1.63599901957664,0.101839792588055,0.202800708864671
"g749",42.8221415611904,2.11145098848465,0.697212441994794,3.02841840062919,0.00245837458690191,0.0118799986581699
"g750",2561.71410178861,0.109227232107303,0.408974136701987,0.267076135885079,0.789410541222104,0.860751245774367
"g751",5363.2069143111,-1.8110588830062,0.736838411164241,-2.45787794931136,0.0139760663112394,0.0451835698958806
"g754",30.5101895321585,0.0869042341625456,0.751408803824195,0.115655065152628,0.907925919996241,0.940006308644454
"g755",6077.11355379676,-0.793127282336971,0.382985203822658,-2.07090841740254,0.0383673554060592,0.0958405116097231
"g756",5.34437538437873,0.122784632239177,1.95462729845736,0.0628174140083288,0.949911898881517,0.968805174218387
"g757",10.0580341752276,1.01822139590689,1.26448067184448,0.805248683178066,0.4206761882939,0.561104222247499
"g758",4420.10578490276,-0.47067590351485,0.501851956649327,-0.937877988276407,0.348307116349228,0.490347027735017
"g759",424.171480925043,-0.590525899952229,0.558432635811366,-1.05747025170589,0.290297024371251,0.435884287409157
"g761",1135.84382305907,1.04577462018169,0.434870116716147,2.40479761653593,0.0161814242927062,0.0501189752421738
"g763",1426.74216355096,1.27886285387699,0.329905320898119,3.87645416083461,0.000105989766663142,0.000914285557290466
"g764",3481.13064383402,0.875438581058841,0.30196355215083,2.89915314223606,0.00374172088629321,0.0166418395067258
"g765",1117.96600876741,0.588118749415361,0.518786884171272,1.13364228618625,0.25694462774275,0.399259076442017
"g767",118.196139041635,4.97511811257244,0.86508975912872,5.75098486610587,8.87250581308696e-09,3.32622107477384e-07
"g768",2.11303953794339,-2.57012275312415,3.32363078502358,-0.773287684271438,0.439352142795443,NA
"g772",1652.8174604132,-0.995905309844554,0.373128128983526,-2.66907057518712,0.00760614661018255,0.0289504054482412
"g773",548.04839042237,-0.403809611868123,0.321679006931672,-1.2553185105856,0.209363158113254,0.338131574695597
"g774",2047.71697426563,-0.705964108194069,0.36680242685549,-1.92464404951224,0.0542739046008655,0.124359430471106
"g775",321.345936152327,-0.584022457189657,0.572030327714742,-1.02096414979049,0.307271424141805,0.450490886358383
